Zipcode,Lat
32615,29.77
32616,29.77
32420,30.69
32421,30.57
32617,29.28
32320,29.72
32329,29.72
32618,29.53
32422,30.71
32530,30.58
32531,30.79
32423,30.92
32619,29.75
34420,29.05
34421,29.05
32424,30.44
32425,30.78
32007,29.77
32008,29.96
32321,30.42
32621,29.44
32622,29.88
32009,30.38
32011,30.56
32426,30.95
32533,30.6
32322,29.84
32323,29.88
32427,30.77
32625,29.14
32535,30.97
32324,30.69
32626,29.47
32644,29.47
32428,30.77
32430,30.43
32431,30.79
32326,30.17
32327,30.17
32536,30.75
32537,30.75
32539,30.75
32628,29.63
34423,28.9
34428,28.9
34429,28.9
32432,30.71
32013,30.19
32433,30.74
32434,30.74
32435,30.74
32540,30.4
32541,30.4
32550,30.39
34430,29.04
34431,29.04
34432,29.04
34433,29.04
34434,29.04
32631,29.71
32328,29.75
32437,30.44
32542,30.46
32033,29.78
32633,29.52
32634,29.37
32034,30.65
32035,30.65
34436,28.74
32547,30.42
32548,30.42
32549,30.42
32038,29.92
32438,30.47
32439,30.5
32601,29.67
32602,29.67
32603,29.67
32604,29.67
32605,29.67
32606,29.67
32607,29.67
32608,29.67
32609,29.67
32610,29.67
32611,29.67
32612,29.67
32613,29.67
32614,29.67
32627,29.67
32635,29.67
32641,29.67
32653,29.67
32040,30.27
32560,30.57
32440,30.96
32042,29.88
32442,30.71
32043,29.98
32330,30.57
32331,30.46
32443,30.87
32332,30.61
32561,30.36
32562,30.36
32563,30.65
32566,30.36
32639,29.25
32044,29.86
32333,30.62
32640,29.59
34442,28.9
32643,29.82
32655,29.82
32046,30.69
34445,28.96
32564,30.72
34487,28.78
34446,28.78
34447,28.79
34448,28.78
32648,29.44
32334,30.38
32335,30.01
34449,29.03
34450,28.83
34451,28.83
34452,28.83
34453,28.83
32654,29.58
32099,30.33
32201,30.33
32202,30.33
32203,30.33
32204,30.33
32205,30.33
32206,30.33
32207,30.33
32208,30.33
32209,30.33
32210,30.33
32211,30.33
32212,30.33
32214,30.33
32215,30.33
32216,30.33
32217,30.33
32218,30.33
32219,30.33
32220,30.33
32221,30.33
32222,30.33
32223,30.33
32224,30.33
32225,30.33
32226,30.33
32227,30.33
32228,30.33
32229,30.33
32230,30.33
32231,30.33
32232,30.33
32233,30.33
32234,30.33
32235,30.33
32236,30.33
32237,30.33
32238,30.33
32239,30.33
32240,30.29
32241,30.33
32244,30.33
32245,30.33
32246,30.33
32247,30.33
32250,30.29
32254,30.33
32255,30.33
32256,30.33
32257,30.33
32258,30.33
32259,30.08
32260,30.33
32266,30.31
32277,30.33
32052,30.51
32565,30.95
32053,30.6
32656,29.78
32658,29.84
32054,30.02
32061,30.1
32024,30.19
32025,30.19
32055,30.19
32056,30.19
32336,30.37
32538,30.97
32567,30.96
32058,30.04
34460,28.85
34461,28.85
34464,28.91
34465,28.91
32059,30.41
32060,30.29
32064,30.29
32337,30.47
32662,29.51
32663,29.32
32444,30.24
32062,30.13
32568,30.86
32664,29.44
32063,30.28
32340,30.46
32341,30.46
32445,30.95
32446,30.77
32447,30.77
32448,30.77
32544,30.42
32569,30.41
32066,30.05
32666,29.7
32667,29.5
32050,30.05
32068,30.05
32343,30.49
32570,30.63
32571,30.63
32572,30.63
32583,30.63
32577,30.71
32344,30.54
32345,30.54
32668,29.27
32669,29.64
32578,30.53
32588,30.53
32452,30.98
32071,30.03
34470,29.18
34471,29.18
34472,29.18
34473,29.18
34474,29.18
34475,29.18
34476,29.18
34477,29.18
34478,29.18
34479,29.18
34480,29.18
34481,29.18
34482,29.18
34483,29.18
32680,29.59
32681,29.44
32003,30.16
32006,30.11
32030,30.12
32065,30.16
32067,30.16
32073,30.16
32683,29.32
34484,28.92
32346,30.03
32401,30.17
32402,30.17
32403,30.17
32404,30.17
32405,30.17
32406,30.17
32407,30.17
32408,30.17
32409,30.17
32411,30.17
32412,30.17
32413,30.17
32417,30.17
32461,30.25
32079,29.98
32501,30.44
32502,30.44
32503,30.44
32504,30.44
32505,30.44
32506,30.44
32507,30.44
32508,30.44
32509,30.44
32511,30.44
32512,30.44
32513,30.44
32514,30.44
32516,30.44
32520,30.44
32521,30.44
32522,30.44
32523,30.44
32524,30.44
32526,30.44
32534,30.44
32559,30.44
32590,30.44
32591,30.44
32592,30.44
32347,30.1
32348,30.1
32350,30.59
32455,30.72
32004,30.23
32081,30.08
32082,30.23
32410,29.94
32456,29.83
32457,29.83
32351,30.58
32352,30.65
32353,30.58
32026,30.06
32083,30.06
32686,29.36
32080,29.8
32084,29.89
32085,29.89
32086,29.89
32092,29.89
32095,29.89
32355,30.16
32356,29.88
32072,30.2
32087,30.25
32459,30.37
32357,30.28
32579,30.44
34488,29.22
34489,29.22
32460,30.7
32358,30.05
32091,29.94
32359,29.67
34491,29.0
34492,29.0
32692,29.32
32301,30.45
32302,30.45
32303,30.45
32304,30.45
32305,30.23
32306,30.45
32307,30.45
32308,30.45
32309,30.53
32310,30.45
32311,30.45
32312,30.45
32313,30.45
32314,30.45
32315,30.45
32316,30.45
32317,30.45
32318,30.56
32395,30.45
32399,30.45
32360,30.35
32693,29.61
32580,30.49
32462,30.61
32361,30.35
32694,29.79
32463,30.63
32094,30.23
32464,30.76
32449,30.26
32465,30.11
32096,30.33
32696,29.37
32362,30.31
32697,29.93
34498,29.03
32466,30.36
32041,30.63
32097,30.63
33430,26.68
33427,26.37
33428,26.37
33429,26.37
33431,26.37
33432,26.37
33433,26.37
33434,26.37
33464,26.61
33481,26.37
33486,26.37
33487,26.37
33488,26.37
33496,26.37
33497,26.37
33498,26.37
33499,26.37
33424,26.52
33425,26.52
33426,26.52
33435,26.52
33436,26.52
33437,26.52
33472,26.53
33473,26.49
33474,26.52
33438,26.86
33440,26.75
33004,26.05
33441,26.31
33442,26.31
33443,26.31
33444,26.45
33445,26.45
33446,26.45
33448,26.45
33482,26.45
33483,26.45
33484,26.45
33301,26.14
33302,26.14
33303,26.14
33304,26.14
33305,26.14
33306,26.14
33307,26.14
33308,26.14
33309,26.14
33310,26.14
33311,26.14
33312,26.14
33313,26.14
33314,26.14
33315,26.14
33316,26.14
33317,26.14
33318,26.14
33319,26.14
33320,26.14
33321,26.14
33322,26.14
33323,26.14
33324,26.14
33325,26.14
33326,26.11
33327,26.11
33328,26.14
33329,26.14
33330,26.14
33331,26.14
33332,26.14
33334,26.14
33335,26.14
33336,26.14
33337,26.14
33338,26.14
33339,26.14
33340,26.14
33345,26.14
33346,26.14
33348,26.14
33349,26.14
33351,26.14
33355,26.14
33359,26.14
33388,26.14
33394,26.14
34945,27.44
34946,27.44
34947,27.44
34948,27.44
34949,27.44
34950,27.44
34951,27.44
34954,27.44
34979,27.44
34981,27.44
34982,27.44
34983,27.27
34952,27.27
34953,27.27
34984,27.27
34985,27.27
34986,27.27
34987,27.27
34988,27.27
33008,25.98
33009,25.98
33002,25.86
33010,25.86
33011,25.86
33012,25.86
33013,25.86
33014,25.86
33015,25.86
33016,25.86
33017,25.86
33018,25.86
33455,27.07
33475,27.07
33019,26.02
33020,26.02
33021,26.02
33022,26.02
33023,26.02
33024,26.02
33025,26.02
33026,26.02
33027,26.02
33028,26.0
33029,26.02
33081,26.02
33083,26.02
33084,26.0
33030,25.46
33031,25.46
33032,25.46
33033,25.46
33034,25.46
33035,25.46
33039,25.46
33090,25.46
33092,25.46
34956,27.03
33036,24.92
34957,27.23
34958,27.23
33458,26.92
33468,26.92
33469,26.92
33477,26.92
33478,26.92
33037,25.08
33040,24.55
33041,24.55
33045,24.55
33459,26.7
33449,26.58
33454,26.61
33460,26.61
33461,26.61
33462,26.61
33463,26.61
33465,26.61
33466,26.61
33467,26.61
33001,24.82
33470,26.78
33050,24.71
33051,24.72
33052,24.72
33101,25.77
33102,25.77
33106,25.84
33111,25.77
33112,25.79
33114,25.77
33116,25.77
33122,25.79
33124,25.77
33125,25.77
33126,25.77
33127,25.77
33128,25.77
33129,25.77
33130,25.77
33131,25.77
33132,25.77
33133,25.77
33134,25.77
33135,25.77
33136,25.77
33137,25.77
33138,25.77
33142,25.77
33143,25.77
33144,25.77
33145,25.77
33146,25.77
33147,25.77
33149,25.68
33150,25.77
33151,25.77
33152,25.77
33153,25.77
33155,25.77
33156,25.77
33157,25.77
33158,25.77
33159,25.77
33160,25.77
33161,25.77
33162,25.77
33163,25.77
33164,25.77
33165,25.77
33166,25.82
33167,25.77
33168,25.77
33169,25.77
33170,25.77
33172,25.79
33173,25.77
33174,25.77
33175,25.77
33176,25.77
33177,25.77
33178,25.85
33179,25.77
33180,25.77
33181,25.77
33182,25.78
33183,25.77
33184,25.77
33185,25.77
33186,25.77
33187,25.77
33188,25.77
33189,25.77
33190,25.77
33193,25.77
33194,25.77
33196,25.77
33197,25.77
33199,25.77
33206,25.72
33222,25.93
33231,25.77
33233,25.77
33234,25.77
33238,25.77
33242,25.77
33243,25.77
33245,25.77
33247,25.77
33255,25.77
33256,25.77
33257,25.77
33261,25.77
33265,25.77
33266,25.77
33269,25.77
33280,25.77
33283,25.77
33296,25.77
33299,25.77
33109,25.77
33119,25.77
33139,25.77
33140,25.77
33141,25.77
33154,25.77
33239,25.77
33471,26.83
34972,27.24
34973,27.24
34974,27.24
33054,25.93
33055,25.93
33056,25.93
33476,26.81
33480,26.69
34990,27.16
34991,27.16
33060,26.23
33061,26.23
33062,26.23
33063,26.23
33064,26.23
33065,26.23
33066,26.23
33067,26.23
33068,26.23
33069,26.23
33071,26.23
33072,26.23
33073,26.23
33074,26.23
33075,26.23
33076,26.23
33077,26.23
33093,26.23
33097,26.23
34992,27.14
33493,26.66
33082,26.0
34994,27.19
34995,27.19
34996,27.19
34997,27.19
33042,24.66
33043,24.67
33070,25.01
33401,26.74
33402,26.74
33403,26.74
33404,26.74
33405,26.74
33406,26.74
33407,26.74
33408,26.81
33409,26.74
33410,26.74
33411,26.74
33412,26.74
33413,26.74
33414,26.74
33415,26.74
33416,26.74
33417,26.74
33418,26.74
33419,26.74
33420,26.74
33421,26.74
33422,26.74
32701,28.66
32714,28.66
32715,28.66
32716,28.66
32702,29.04
33820,27.79
33920,26.71
34216,27.53
32703,28.68
32704,28.68
32712,28.68
34265,27.21
34266,27.21
34269,27.21
34679,28.43
34705,28.71
32102,29.14
33823,28.07
33825,27.59
33826,27.59
33827,27.83
33503,27.76
32105,29.18
33830,27.89
33831,27.89
33744,27.81
33921,26.69
33922,26.7
34133,26.34
34134,26.34
34135,26.34
34136,26.34
33834,27.63
34201,27.48
34202,27.48
34203,27.48
34204,27.48
34205,27.48
34206,27.48
34207,27.48
34208,27.48
34209,27.48
34210,27.48
34211,27.48
34212,27.48
34280,27.48
34281,27.48
34282,27.48
34217,27.46
34218,27.51
